topic,question,answer
Biology,What is photosynthesis?,Photosynthesis is the process by which green plants use sunlight to make food from carbon dioxide and water.
Biology,What is mitosis?,Mitosis is a type of cell division that results in two identical daughter cells.
Biology,What is DNA?,DNA is the molecule that carries genetic information in all living organisms.
Biology,What is an enzyme?,An enzyme is a protein that speeds up chemical reactions in the body.
Biology,What is osmosis?,Osmosis is the movement of water across a semi-permeable membrane from low solute concentration to high.
Physics,What is gravity?,Gravity is the force that attracts two bodies toward each other.
Physics,What is Newton's first law?,An object at rest stays at rest and an object in motion stays in motion unless acted upon by an external force.
Physics,What is velocity?,Velocity is the speed of something in a given direction.
Physics,What is kinetic energy?,Kinetic energy is the energy an object has due to its motion.
Physics,What is potential energy?,Potential energy is stored energy due to position or state.
Chemistry,What is an atom?,An atom is the smallest unit of matter that retains the properties of an element.
Chemistry,What is a molecule?,A molecule is two or more atoms bonded together.
Chemistry,What is the periodic table?,The periodic table organizes all known chemical elements by increasing atomic number.
Chemistry,What is an acid?,An acid is a substance that donates hydrogen ions in a solution.
Chemistry,What is a base?,A base is a substance that accepts hydrogen ions or donates hydroxide ions.
Biology,What is chlorophyll?,Chlorophyll is the green pigment in plants that absorbs sunlight for photosynthesis.
Physics,What is Ohm's Law?,Ohm's Law states that voltage equals current times resistance (V=IR).
Chemistry,What is an isotope?,Isotopes are atoms of the same element with different numbers of neutrons.
Math,What is a factorial?,A factorial of a number n is the product of all positive integers less than or equal to n.
History,Who was Napoleon?,Napoleon Bonaparte was a French military leader who became emperor of France.
Geography,What is the Amazon River?,"The Amazon River is the second longest river in the world, located in South America."
General,Who invented the telephone?,Alexander Graham Bell is credited with inventing the first practical telephone.
Literature,Who wrote To Kill a Mockingbird?,Harper Lee wrote To Kill a Mockingbird.
Computer Science,What is a binary number?,"A binary number is a number expressed in base-2, using only 0 and 1."
Astronomy,What is a comet?,"A comet is a small Solar System body made of ice, dust, and rocky material."
Economics,What is microeconomics?,Microeconomics is the study of individual consumers and businesses in the economy.
Biology,What is a vaccine?,A vaccine is a biological preparation that provides immunity to a particular disease.
Physics,What is acceleration?,Acceleration is the rate of change of velocity over time.
Chemistry,What is pH?,pH is a scale used to specify how acidic or basic a water-based solution is.
Math,What is a polynomial?,A polynomial is an expression consisting of variables and coefficients.
History,What was the Renaissance?,The Renaissance was a cultural movement that profoundly affected European intellectual life.
Geography,Where is the Great Barrier Reef?,"The Great Barrier Reef is located off the coast of Queensland, Australia."
General,Who was Albert Einstein?,Albert Einstein was a theoretical physicist who developed the theory of relativity.
Literature,Who wrote The Great Gatsby?,F. Scott Fitzgerald wrote The Great Gatsby.
Computer Science,What is an operating system?,An operating system is system software that manages computer hardware and software resources.
Astronomy,What is a galaxy?,"A galaxy is a huge collection of gas, dust, and billions of stars and their solar systems."
Economics,What is demand elasticity?,Demand elasticity measures how demand for a product changes with price.
